id,num_orders
1028232,82.35
1262649,82.35
1453211,82.35
1262599,86.4
1495848,82.35
1342607,102.65
1358429,82.35
1475006,82.35
1009709,82.35
1460444,1505.3
1476535,1756.25
1297121,1756.25
1141103,1756.25
1274933,1756.25
1435122,1756.25
1486477,1756.25
1195364,1756.25
1301491,1756.25
1059056,1756.25
1098228,1525.5
1080847,1596.4
1064602,1596.4
1093227,1596.4
1177861,1596.4
1259611,1525.5
1274836,1596.4
1030333,1525.5
1249982,1596.4
1188591,1596.4
1316160,830.1
1419545,830.1
1062437,830.1
1181575,1215.95
1143023,703.3
1278339,830.1
1282203,830.1
1080746,830.1
1296937,830.1
1210564,830.1
1390579,308.2
1436947,285.85
1045739,324.8
1318087,285.85
1223698,288.55
1436625,285.85
1383644,288.55
1045356,288.55
1121593,288.55
1114635,309.35
1332667,2823.95
1039351,2831.4
1319273,2823.95
1305518,2831.4
1327143,2823.95
1272171,2417.9
1223757,2417.9
1090089,2413.8
1128850,2413.8
1446344,2823.95
1237947,824.25
1452835,875.35
1029462,875.35
1365321,875.35
1377892,824.25
1378346,824.25
1261333,824.25
1427333,875.35
1157382,875.35
1168967,822.1
1306954,1540.9
1342909,1259.4
1244760,1259.4
1431361,1436.2
1276681,1540.9
1148958,1436.2
1184174,1308.65
1323560,1308.65
1066229,1259.4
1025558,1259.4
1083889,351.75
1378453,349.25
1434331,332.2
1311554,344.0
1111904,347.25
1430955,365.95
1455829,340.85
1182896,349.25
1205862,349.25
1215917,331.7
1409427,394.0
1100468,418.35
1411863,374.7
1010693,391.7
1004925,379.45
1265382,394.75
1239027,379.45
1462013,418.35
1464784,394.0
1440692,374.65
1268331,378.6
1030648,382.35
1033468,381.5
1452010,307.35
1164883,325.9
1265395,360.4
1214244,360.4
1307226,360.4
1425834,387.45
1105463,378.6
1245977,120.1
1352817,133.5
1245183,130.15
1490092,133.5
1278462,133.5
1090267,133.5
1231613,130.15
1164334,133.5
1300150,133.5
1231259,133.5
1243020,339.75
1433764,339.75
1124103,339.75
1031825,339.75
1437782,351.9
1087645,339.75
1185456,339.75
1450862,351.9
1465438,339.75
1035890,351.9
1267165,992.2
1262997,992.2
1088775,992.2
1217709,992.2
1430418,992.2
1275478,1058.55
1435295,992.2
1346982,992.2
1160970,992.2
1310566,1058.55
1014151,722.15
1374002,674.65
1417996,722.15
1141881,674.65
1219590,722.15
1373220,674.65
1355558,709.15
1042282,722.15
1323969,722.15
1480827,722.15
1161084,395.9
1351984,363.1
1196384,372.55
1231951,377.9
1004647,364.0
1441493,369.05
1337172,480.55
1127689,375.95
1321298,377.9
1475476,307.55
1207745,650.85
1332437,642.05
1295195,650.85
1238168,1127.7
1401191,1137.9
1320351,642.05
1015073,642.05
1440436,642.05
1488196,642.05
1084735,658.85
1312130,143.3
1284072,227.6
1390606,227.6
1177870,241.0
1217412,241.0
1391279,259.45
1000635,254.8
1070142,143.3
1158077,259.45
1263948,241.0
1240615,1460.75
1397490,1460.75
1355088,1425.1
1401705,1460.75
1422185,1449.8
1390157,1460.75
1460838,1425.1
1377519,1460.75
1310657,1449.8
1491023,1449.8
1067356,1009.9
1282200,1107.1
1137357,1009.9
1396043,1107.1
1269970,1107.1
1350440,1107.1
1308326,1107.1
1242087,1107.1
1043619,1009.9
1222185,1009.9
1497941,723.85
1278537,668.3
1355035,723.85
1143583,731.75
1020166,680.55
1406416,731.75
1203123,626.45
1480428,668.3
1420069,668.3
1125502,704.2
1249505,263.55
1206767,274.3
1094469,273.6
1278323,280.25
1173977,270.2
1140787,273.6
1116819,280.25
1252003,387.85
1352888,280.25
1128508,271.7
1034558,68.7
1176365,66.95
1094576,66.95
1392466,66.2
1055474,66.95
1217360,66.95
1271801,66.2
1345064,66.95
1401294,73.1
1024879,66.95
1001797,828.8
1131807,828.8
1494899,828.8
1268958,828.8
1288154,828.8
1203405,828.8
1040370,828.8
1044833,828.8
1350447,828.8
1347690,828.8
1025721,454.75
1457412,378.25
1251774,475.35
1380718,378.25
1262455,454.75
1043759,475.35
1153098,449.4
1142567,378.25
1044267,378.25
1263998,454.75
1185434,1535.9
1101049,1802.9
1101699,1802.9
1089294,1802.9
1480593,1535.9
1339799,1825.05
1261433,1825.05
1397430,1542.0
1083089,1535.9
1138673,1802.9
1306281,128.05
1042427,130.2
1039235,144.35
1270474,130.05
1387994,132.7
1204001,107.0
1146761,145.15
1160004,130.2
1274185,136.7
1271542,107.0
1470774,800.1
1299041,800.1
1105837,803.4
1082803,803.4
1023822,803.4
1312925,800.1
1089746,803.4
1133734,803.4
1096643,800.1
1095601,800.1
1236999,1158.25
1129005,1158.25
1060160,1158.25
1139012,1158.25
1009801,1158.25
1499374,1158.25
1130038,1158.25
1136954,1158.25
1214539,1158.25
1341789,1158.25
1402501,63.35
1305350,57.3
1416500,57.3
1061620,55.8
1356623,71.8
1135009,71.8
1039371,71.8
1358442,61.6
1330108,77.85
1368952,67.5
1402068,508.35
1414079,508.35
1027086,508.35
1376822,508.35
1473650,508.35
1318829,508.35
1485144,508.35
1440877,508.35
1259634,508.35
1197323,508.35
1334064,392.1
1474493,322.65
1452523,337.35
1109460,394.75
1397686,858.7
1436925,322.65
1271835,337.35
1266289,322.55
1172743,858.7
1028916,858.7
1373369,1675.4
1159100,1592.2
1078309,1675.4
1444543,1675.4
1403090,1592.2
1091288,1571.55
1357059,1675.4
1258709,1571.55
1016250,1571.55
1291439,1571.55
1487991,335.15
1173983,385.7
1455460,415.7
1093777,398.65
1284038,397.0
1398418,385.7
1100317,397.0
1050205,399.25
1355831,404.95
1205352,399.25
1352373,526.7
1145134,651.05
1285247,526.7
1485963,418.65
1410494,418.65
1194947,418.65
1479842,675.8
1141874,418.65
1219813,418.65
1020182,389.35
1083024,508.2
1027186,495.45
1226206,508.2
1193020,495.45
1208269,1064.2
1441531,495.45
1201640,495.45
1412072,1068.85
1063733,1064.2
1196516,495.45
1115748,472.8
1281521,472.8
1451363,472.8
1430974,472.8
1461605,466.85
1248805,472.8
1365062,472.8
1413517,472.8
1079468,683.85
1462434,472.8
1171225,570.15
1113088,573.2
1421572,597.3
1231421,573.2
1155226,540.85
1050090,597.3
1462159,573.2
1262088,560.0
1059783,540.85
1068765,560.0
1221985,531.6
1301321,540.45
1463289,489.95
1275946,498.8
1400875,498.8
1348564,489.95
1273247,531.6
1017611,498.8
1062279,489.95
1237961,498.8
1224992,622.45
1311411,624.4
1058810,622.45
1180280,612.35
1171237,612.35
1345370,622.45
1361205,612.35
1020415,624.4
1490702,622.45
1214923,622.45
1295739,151.85
1371494,128.2
1242910,173.0
1297462,137.95
1408420,137.95
1468795,125.0
1322980,123.65
1278810,125.0
1286425,128.35
1287421,128.35
1117909,444.25
1387886,404.0
1344564,353.15
1155339,379.85
1270105,353.15
1299390,353.15
1402691,447.0
1435663,399.35
1499834,503.2
1185266,503.2
1485491,359.6
1493366,382.3
1244054,376.45
1339975,359.6
1493137,365.05
1482630,365.05
1237519,354.35
1414111,376.45
1290325,408.4
1064432,403.65
1220040,221.2
1275484,186.2
1272211,194.2
1290617,213.1
1321339,202.95
1458201,202.95
1219875,194.2
1085852,167.75
1334748,194.2
1224780,202.95
1198616,298.45
1177611,253.0
1077911,293.1
1305831,321.6
1098936,310.9
1189364,321.6
1495457,310.9
1193672,321.6
1177716,293.1
1125817,287.15
1093651,527.4
1009004,540.15
1447838,540.15
1339194,540.15
1027184,527.4
1366421,540.15
1395557,495.05
1382148,540.15
1066186,540.15
1437787,540.15
1106809,1066.6
1318582,1319.55
1438968,1319.55
1361549,1066.6
1057783,1066.6
1004386,1066.6
1315211,1066.6
1428093,1319.55
1163409,1319.55
1040148,1319.55
1460445,365.35
1180058,365.35
1462684,365.35
1138520,365.35
1317061,365.35
1054840,357.25
1438974,365.35
1002774,357.25
1159437,365.35
1089638,355.85
1443523,272.35
1163835,272.35
1494285,272.35
1318970,272.35
1230640,272.35
1350989,272.35
1469698,293.85
1157662,272.35
1365942,272.35
1241167,272.35
